"","NAME_CHAR","n"
"821","E11.3391 Type 2 Diabetes Mellitus With Moderate Nonproliferative Diabetic Retinopathy Without Macular Edema, Right Eye",31
"822","E11.3392 Type 2 Diabetes Mellitus With Moderate Nonproliferative Diabetic Retinopathy Without Macular Edema, Left Eye",31
"823","F51.12 Insufficient Sleep Syndrome",31
"824","276.9 Electrolyte And Fluid Disorders Not Elsewhere Classified",30
"825","277.1 Disorders Of Porphyrin Metabolism",30
"826","307.52 Pica",30
"827","F11.19 Opioid Abuse With Unspecified Opioid-Induced Disorder",30
"828","F32.8 Other Depressive Episodes",30
"829","F82 Specific Developmental Disorder Of Motor Function",30
"830","274.03 Chronic Gouty Arthropathy With Tophus (Tophi)",29
"831","F06.1 Catatonic Disorder Due To Known Physiological Condition",29
"832","F44.7 Conversion Disorder With Mixed Symptom Presentation",29
"833","244.3 Other Iatrogenic Hypothyroidism",28
"834","312.31 Pathological Gambling",28
"835","E11.3592 Type 2 Diabetes Mellitus With Proliferative Diabetic Retinopathy Without Macular Edema, Left Eye",28
"836","E13.39 Other Specified Diabetes Mellitus With Other Diabetic Ophthalmic Complication",28
"837","F15.99 Other Stimulant Use, Unspecified With Unspecified Stimulant-Induced Disorder",28
"838","F80.89 Other Developmental Disorders Of Speech And Language",28
"839","F91.2 Conduct Disorder, Adolescent-Onset Type",28
"840","Z81.4 Family History Of Other Substance Abuse And Dependence",28
"841","279.9 Unspecified Disorder Of Immune Mechanism",27
"842","291.2 Other Alcoholic Dementia",27
"843","305.91 Other, Mixed, Or Unspecified Drug Abuse, Continuous Use",27
"844","E11.3591 Type 2 Diabetes Mellitus With Proliferative Diabetic Retinopathy Without Macular Edema, Right Eye",27
"845","E87.70 Fluid Overload, Unspecified",27
"846","F11.229 Opioid Dependence With Intoxication, Unspecified",27
"847","F19.980 Other Psychoactive Substance Use, Unspecified With Psychoactive Substance-Induced Anxiety Disorder",27
"848","245.9 Thyroiditis, Unspecified",26
"849","275.3 Disorders Of Phosphorus Metabolism",26
"850","298.0 Depressive Type Psychosis",26
"851","302.71 Psychosexual Dysfunction With Inhibited Sexual Desire",26
"852","304.11 Barbiturate And Similarly Acting Sedative Or Hypnotic Dependence, Continuous Use",26
"853","305.43 Barbiturate And Similarly Acting Sedative Or Hypnotic Abuse, In Remission",26
"854","309.82 Adjustment Reaction With Physical Symptoms",26
"855","315.35 Childhood Onset Fluency Disorder",26
"856","E11.44 Type 2 Diabetes Mellitus With Diabetic Amyotrophy",26
"857","E11.641 Type 2 Diabetes Mellitus With Hypoglycemia With Coma",26
"858","F07.0 Personality Change Due To Known Physiological Condition",26
"859","249.80 Secondary Diabetes Mellitus With Other Specified Manifestations, Not Stated As Uncontrolled, Or Unspecified",25
"860","253.8 Other Disorders Of The Pituitary And Other Syndromes Of Diencephalohypophyseal Origin",25
"861","266.9 Unspecified Vitamin B Deficiency",25
"862","301.89 Other Personality Disorders",25
"863","303.00 Acute Alcoholic Intoxication In Alcoholism, Unspecified Drinking Behavior",25
"864","304.02 Opioid Type Dependence, Episodic Use",25
"865","304.72 Combinations Of Opioid Type Drug With Any Other Drug Dependence, Episodic Use",25
"866","E13.311 Other Specified Diabetes Mellitus With Unspecified Diabetic Retinopathy With Macular Edema",25
"867","E13.3293 Other Specified Diabetes Mellitus With Mild Nonproliferative Diabetic Retinopathy Without Macular Edema, Bilateral",25
"868","E73.8 Other Lactose Intolerance",25
"869","E83.118 Other Hemochromatosis",25
"870","F18.10 Inhalant Abuse, Uncomplicated",25
"871","F19.950 Other Psychoactive Substance Use, Unspecified With Psychoactive Substance-Induced Psychotic Disorder With Delusions",25
"872","Z81.0 Family History Of Mental Retardation",25
"873","250.93 Diabetes Mellitus Type I [Insulin Dependent Type] [Iddm] [Juvenile Type], Uncontrolled, With Unspecified Complication",24
"874","276.69 Other Fluid Overload",24
"875","E67.8 Other Specified Hyperalimentation",24
"876","E80.1 Porphyria Cutanea Tarda",24
"877","F10.232 Alcohol Dependence With Withdrawal With Perceptual Disturbance",24
"878","F10.251 Alcohol Dependence With Alcohol-Induced Psychotic Disorder With Hallucinations",24
"879","F17.221 Nicotine Dependence, Chewing Tobacco, In Remission",24
"880","F17.291 Nicotine Dependence, Other Tobacco Product, In Remission",24
"881","F51.11 Primary Hypersomnia",24
"882","V11.0 Personal History Of Schizophrenia",24
"883","250.53 Diabetes Mellitus Type I [Insulin Dependent Type] [Iddm] [Juvenile Type], Uncontrolled, With Ophthalmic Manifestations",23
"884","270.4 Disturbances Of Sulphur-Bearing Amino-Acid Metabolism",23
"885","273.4 Alpha-1-Antitrypsin Deficiency",23
"886","275.09 Other Disorders Of Iron Metabolism",23
"887","307.49 Other Specific Disorders Of Sleep Of Nonorganic Origin",23
"888","307.80 Psychogenic Pain, Site Unspecified",23
"889","315.00 Developmental Reading Disorder, Unspecified",23
"890","E10.3593 Type 1 Diabetes Mellitus With Proliferative Diabetic Retinopathy Without Macular Edema, Bilateral",23
"891","E78.70 Disorder Of Bile Acid And Cholesterol Metabolism, Unspecified",23
"892","E84.0 Cystic Fibrosis With Pulmonary Manifestations",23
"893","F16.11 Hallucinogen Abuse, In Remission",23
"894","F95.8 Other Tic Disorders",23
"895","272.7 Lipidoses",22
"896","294.21 Dementia, Unspecified, With Behavioral Disturbance",22
"897","296.45 Bipolar Affective Disorder, Manic, In Partial Or Unspecified Remission",22
"898","304.63 Other Specified Drug Dependence, In Remission",22
"899","304.71 Combinations Of Opioid Type Drug With Any Other Drug Dependence, Continuous Use",22
"900","318.0 Moderate Mental Retardation",22
"901","E10.3293 Type 1 Diabetes Mellitus With Mild Nonproliferative Diabetic Retinopathy Without Macular Edema, Bilateral",22
"902","E72.8 Other Specified Disorders Of Amino-Acid Metabolism",22
"903","E83.50 Unspecified Disorder Of Calcium Metabolism",22
"904","F14.99 Cocaine Use, Unspecified With Unspecified Cocaine-Induced Disorder",22
"905","F19.230 Other Psychoactive Substance Dependence With Withdrawal, Uncomplicated",22
"906","F51.9 Sleep Disorder Not Due To A Substance Or Known Physiological Condition, Unspecified",22
"907","F84.2 Rett'S Syndrome",22
"908","250.20 Diabetes Mellitus, Type II [Non-Insulin Dependent Type] [Niddm Type] [Adult-Onset Type] Or Unspecified Type With Hyperosmolarity, Not Stated As Uncontrolled",21
"909","253.5 Diabetes Insipidus",21
"910","296.82 Atypical Depressive Disorder",21
"911","301.0 Paranoid Personality Disorder",21
"912","304.70 Combinations Of Opioid Type Drug With Any Other Drug Dependence, Unspecified Use",21
"913","315.8 Other Specified Delays In Development",21
"914","E11.3311 Type 2 Diabetes Mellitus With Moderate Nonproliferative Diabetic Retinopathy With Macular Edema, Right Eye",21
"915","F10.96 Alcohol Use, Unspecified With Alcohol-Induced Persisting Amnestic Disorder",21
"916","F15.280 Other Stimulant Dependence With Stimulant-Induced Anxiety Disorder",21
"917","250.81 Diabetes Mellitus Type I [Insulin Dependent Type] [Iddm] [Juvenile Type], Not Stated As Uncontrolled, With Other Specified Manifestations",20
"918","255.0 Cushing'S Syndrome",20
"919","293.89 Other Specified Transient Organic Mental Disorders",20
"920","296.46 Bipolar Affective Disorder, Manic, In Full Remission",20
"921","307.45 Phase-Shift Disruption Of 24-Hour Sleep-Wake Cycle",20
"922","313.9 Unspecified Emotional Disturbance Of Childhood",20
"923","E08.01 Diabetes Mellitus Due To Underlying Condition With Hyperosmolarity With Coma",20
"924","E10.3299 Type 1 Diabetes Mellitus With Mild Nonproliferative Diabetic Retinopathy Without Macular Edema, Unspecified Eye",20
"925","E11.3211 Type 2 Diabetes Mellitus With Mild Nonproliferative Diabetic Retinopathy With Macular Edema, Right Eye",20
"926","E11.329 Type 2 Diabetes Mellitus With Mild Nonproliferative Diabetic Retinopathy Without Macular Edema",20
"927","E13.59 Other Specified Diabetes Mellitus With Other Circulatory Complications",20
"928","E83.10 Disorder Of Iron Metabolism, Unspecified",20
"929","F12.959 Cannabis Use, Unspecified With Psychotic Disorder, Unspecified",20
"930","F14.24 Cocaine Dependence With Cocaine-Induced Mood Disorder",20
"931","F19.939 Other Psychoactive Substance Use, Unspecified With Withdrawal, Unspecified",20
"932","F98.0 Enuresis Not Due To A Substance Or Known Physiological Condition",20
"933","295.60 Residual Schizophrenia, Unspecified State",19
"934","295.74 Schizo-Affective Type Schizophrenia, Chronic State With Acute Exacerbation",19
"935","296.56 Bipolar Affective Disorder, Depressed, In Full Remission",19
"936","302.52 Trans-Sexualism With Homosexual History",19
"937","E10.622 Type 1 Diabetes Mellitus With Other Skin Ulcer",19
"938","E11.3212 Type 2 Diabetes Mellitus With Mild Nonproliferative Diabetic Retinopathy With Macular Edema, Left Eye",19
"939","E11.3559 Type 2 Diabetes Mellitus With Stable Proliferative Diabetic Retinopathy, Unspecified Eye",19
"940","E13.51 Other Specified Diabetes Mellitus With Diabetic Peripheral Angiopathy Without Gangrene",19
"941","E83.41 Hypermagnesemia",19
"942","F06.2 Psychotic Disorder With Delusions Due To Known Physiological Condition",19
"943","F40.241 Acrophobia",19
"944","V15.42 Personal History Of Emotional Abuse",19
"945","242.20 Toxic Multinodular Goiter Without Mention Of Thyrotoxic Crisis Or Storm",18
"946","253.6 Other Disorders Of Neurohypophysis",18
"947","255.10 Primary Aldosteronism",18
"948","256.8 Other Ovarian Dysfunction",18
"949","301.82 Avoidant Personality",18
"950","304.82 Combinations Of Drug Dependence Excluding Opioid Type Drug, Episodic Use",18
"951","313.0 Overanxious Disorder Specific To Childhood And Adolescence",18
"952","315.31 Developmental Language Disorder",18
"953","E11.37X3 Type 2 Diabetes Mellitus With Diabetic Macular Edema, Resolved Following Treatment, Bilateral",18
"954","E74.10 Disorder Of Fructose Metabolism, Unspecified",18
"955","E80.20 Unspecified Porphyria",18
"956","F10.259 Alcohol Dependence With Alcohol-Induced Psychotic Disorder, Unspecified",18
"957","F11.988 Opioid Use, Unspecified With Other Opioid-Induced Disorder",18
"958","F30.11 Manic Episode Without Psychotic Symptoms, Mild",18
"959","F30.12 Manic Episode Without Psychotic Symptoms, Moderate",18
"960","F80.2 Mixed Receptive-Expressive Language Disorder",18
"961","F91.1 Conduct Disorder, Childhood-Onset Type",18
"962","F94.0 Selective Mutism",18
"963","251.1 Other Specified Hypoglycemia",17
"964","269.3 Mineral Deficiency, Not Elsewhere Classified",17
"965","269.8 Other Nutritional Deficiency",17
"966","276.0 Hyperosmolality And/Or Hypernatremia",17
"967","313.21 Shyness Disorder Of Childhood",17
"968","E08.3293 Diabetes Mellitus Due To Underlying Condition With Mild Nonproliferative Diabetic Retinopathy Without Macular Edema, Bilateral",17
"969","E08.51 Diabetes Mellitus Due To Underlying Condition With Diabetic Peripheral Angiopathy Without Gangrene",17
"970","E11.3411 Type 2 Diabetes Mellitus With Severe Nonproliferative Diabetic Retinopathy With Macular Edema, Right Eye",17
"971","E11.3511 Type 2 Diabetes Mellitus With Proliferative Diabetic Retinopathy With Macular Edema, Right Eye",17
"972","F12.188 Cannabis Abuse With Other Cannabis-Induced Disorder",17
"973","F52.22 Female Sexual Arousal Disorder",17
"974","F80.0 Phonological Disorder",17
"975","F81.81 Disorder Of Written Expression",17
"976","241.9 Unspecified Nontoxic Nodular Goiter",16
"977","249.40 Secondary Diabetes Mellitus With Renal Manifestations, Not Stated As Uncontrolled, Or Unspecified",16
"978","250.10 Type II Diabetes Mellitus [Non-Insulin Dependent Type] [Niddm Type] [Adult-Onset Type] Or Unspecified Type, Not Stated As Uncontrolled, With Ketoacidosis",16
"979","272.8 Other Disorders Of Lipoid Metabolism",16
"980","277.00 Cystic Fibrosis Without Mention Of Meconium Ileus",16
"981","294.8 Other Specified Organic Brain Syndromes (Chronic)",16
"982","296.43 Bipolar Affective Disorder, Manic, Severe Degree, Without Mention Of Psychotic Behavior",16
"983","304.92 Unspecified Drug Dependence, Episodic Use",16
"984","E10.3219 Type 1 Diabetes Mellitus With Mild Nonproliferative Diabetic Retinopathy With Macular Edema, Unspecified Eye",16
"985","E10.41 Type 1 Diabetes Mellitus With Diabetic Mononeuropathy",16
"986","F11.282 Opioid Dependence With Opioid-Induced Sleep Disorder",16
"987","F12.120 Cannabis Abuse With Intoxication, Uncomplicated",16
"988","F15.94 Other Stimulant Use, Unspecified With Stimulant-Induced Mood Disorder",16
"989","F16.283 Hallucinogen Dependence With Hallucinogen Persisting Perception Disorder (Flashbacks)",16
"990","F17.228 Nicotine Dependence, Chewing Tobacco, With Other Nicotine-Induced Disorders",16
"991","F59 Unspecified Behavioral Syndromes Associated With Physiological Disturbances And Physical Factors",16
"992","F95.1 Chronic Motor Or Vocal Tic Disorder",16
"993","F98.5 Stuttering [Stammering]",16
"994","253.0 Acromegaly And Gigantism",15
"995","270.6 Disorders Of Urea Cycle Metabolism",15
"996","275.01 Hereditary Hemochromatosis",15
"997","292.12 Drug-Induced Hallucinosis",15
"998","298.8 Other And Unspecified Reactive Psychosis",15
"999","300.6 Depersonalization Syndrome",15
"1000","302.9 Unspecified Psychosexual Disorder",15
"1001","305.62 Cocaine Abuse, Episodic Use",15
"1002","316 Psychic Factors Associated With Diseases Classified Elsewhere",15
"1003","E08.610 Diabetes Mellitus Due To Underlying Condition With Diabetic Neuropathic Arthropathy",15
"1004","E08.622 Diabetes Mellitus Due To Underlying Condition With Other Skin Ulcer",15
"1005","E10.628 Type 1 Diabetes Mellitus With Other Skin Complications",15
"1006","E13.41 Other Specified Diabetes Mellitus With Diabetic Mononeuropathy",15
"1007","E85.4 Organ-Limited Amyloidosis",15
"1008","E85.9 Amyloidosis, Unspecified",15
"1009","F11.982 Opioid Use, Unspecified With Opioid-Induced Sleep Disorder",15
"1010","F15.259 Other Stimulant Dependence With Stimulant-Induced Psychotic Disorder, Unspecified",15
"1011","F44.6 Conversion Disorder With Sensory Symptom Or Deficit",15
"1012","F53.1 Puerperal Psychosis",15
"1013","F84.8 Other Pervasive Developmental Disorders",15
"1014","253.9 Unspecified Disorder Of The Pituitary Gland And Its Hypothalamic Control",14
"1015","274.89 Gout With Other Specified Manifestations",14
"1016","306.1 Respiratory Malfunction Arising From Mental Factors",14
"1017","308.4 Mixed Disorders As Reaction To Stress",14
"1018","E10.618 Type 1 Diabetes Mellitus With Other Diabetic Arthropathy",14
"1019","E13.3593 Other Specified Diabetes Mellitus With Proliferative Diabetic Retinopathy Without Macular Edema, Bilateral",14
"1020","E80.21 Acute Intermittent (Hepatic) Porphyria",14
"1021","E83.31 Familial Hypophosphatemia",14
"1022","E84.8 Cystic Fibrosis With Other Manifestations",14
"1023","F12.151 Cannabis Abuse With Psychotic Disorder With Hallucinations",14
"1024","F12.23 Cannabis Dependence With Withdrawal",14
"1025","F15.93 Other Stimulant Use, Unspecified With Withdrawal",14
"1026","F15.950 Other Stimulant Use, Unspecified With Stimulant-Induced Psychotic Disorder With Delusions",14
"1027","F52.5 Vaginismus Not Due To A Substance Or Known Physiological Condition",14
"1028","F65.4 Pedophilia",14
"1029","253.4 Other Anterior Pituitary Disorders",13
"1030","279.8 Other Specified Disorders Involving The Immune Mechanism",13
"1031","292.85 Drug Induced Sleep Disorders",13
"1032","301.20 Schizoid Personality Disorder, Unspecified",13
"1033","304.81 Combinations Of Drug Dependence Excluding Opioid Type Drug, Continuous Use",13
"1034","315.4 Developmental Coordination Disorder",13
"1035","E08.618 Diabetes Mellitus Due To Underlying Condition With Other Diabetic Arthropathy",13
"1036","E08.649 Diabetes Mellitus Due To Underlying Condition With Hypoglycemia Without Coma",13
"1037","E10.3599 Type 1 Diabetes Mellitus With Proliferative Diabetic Retinopathy Without Macular Edema, Unspecified Eye",13
"1038","E70.30 Albinism, Unspecified",13
"1039","E75.5 Other Lipid Storage Disorders",13
"1040","F06.33 Mood Disorder Due To Known Physiological Condition With Manic Features",13
"1041","F12.19 Cannabis Abuse With Unspecified Cannabis-Induced Disorder",13
"1042","F13.980 Sedative, Hypnotic Or Anxiolytic Use, Unspecified With Sedative, Hypnotic Or Anxiolytic-Induced Anxiety Disorder",13
"1043","F63.2 Kleptomania",13
"1044","268 Vitamin D Deficiency",12
"1045","279.00 Hypogammaglobulinemia, Unspecified",12
"1046","291.82 Alcohol Induced Sleep Disorders",12
"1047","292.11 Drug-Induced Organic Delusional Syndrome",12
"1048","295.12 Disorganized Type Schizophrenia, Chronic State",12
"1049","303.9 Other And Unspecified Alcohol Dependence",12
"1050","309.21 Separation Anxiety Disorder",12
"1051","E10.36 Type 1 Diabetes Mellitus With Diabetic Cataract",12
"1052","E11.3491 Type 2 Diabetes Mellitus With Severe Nonproliferative Diabetic Retinopathy Without Macular Edema, Right Eye",12
"1053","E13.3299 Other Specified Diabetes Mellitus With Mild Nonproliferative Diabetic Retinopathy Without Macular Edema, Unspecified Eye",12
"1054","E86.9 Volume Depletion, Unspecified",12
"1055","F07.9 Unspecified Personality And Behavioral Disorder Due To Known Physiological Condition",12
"1056","F10.182 Alcohol Abuse With Alcohol-Induced Sleep Disorder",12
"1057","F10.951 Alcohol Use, Unspecified With Alcohol-Induced Psychotic Disorder With Hallucinations",12
"1058","F10.97 Alcohol Use, Unspecified With Alcohol-Induced Persisting Dementia",12
"1059","F44.1 Dissociative Fugue",12
"1060","F64.8 Other Gender Identity Disorders",12
"1061","F68.10 Factitious Disorder, Unspecified",12
"1062","V17.89 Other Musculoskeletal Diseases",12
"1063","250.22 Diabetes Mellitustype II [Non-Insulin Dependent Type] [Niddm Type] [Adult-Onset Type] Or Unspecified Type With Hyperosmolarity, Uncontrolled",11
"1064","252.9 Unspecified Disorder Of Parathyroid Gland",11
"1065","255.2 Adrenogenital Disorders",11
"1066","258.8 Other Specified Polyglandular Dysfunction",11
"1067","265.1 Other And Unspecified Manifestations Of Thiamine Deficiency",11
"1068","274 Gout",11
"1069","275.40 Unspecified Disorder Of Calcium Metabolism",11
"1070","276.2 Acidosis",11
"1071","277.89 Other Specified Disorders Of Metabolism",11
"1072","296.66 Bipolar Affective Disorder, Mixed, In Full Remission",11
"1073","304.13 Barbiturate And Similarly Acting Sedative Or Hypnotic Dependence, In Remission",11
"1074","305.71 Amphetamine Or Related Acting Sympathomimetic Abuse, Continuous Use",11
"1075","309.3 Adjustment Reaction With Predominant Disturbance Of Conduct",11
"1076","310.9 Unspecified Nonpsychotic Mental Disorder Following Organic Brain Damage",11
"1077","E11.3312 Type 2 Diabetes Mellitus With Moderate Nonproliferative Diabetic Retinopathy With Macular Edema, Left Eye",11
"1078","E11.3512 Type 2 Diabetes Mellitus With Proliferative Diabetic Retinopathy With Macular Edema, Left Eye",11
"1079","E11.3552 Type 2 Diabetes Mellitus With Stable Proliferative Diabetic Retinopathy, Left Eye",11
"1080","E13.610 Other Specified Diabetes Mellitus With Diabetic Neuropathic Arthropathy",11
"1081","E83.01 Wilson'S Disease",11
"1082","F12.180 Cannabis Abuse With Cannabis-Induced Anxiety Disorder",11
"1083","F14.14 Cocaine Abuse With Cocaine-Induced Mood Disorder",11
"1084","F14.23 Cocaine Dependence With Withdrawal",11
"1085","F14.251 Cocaine Dependence With Cocaine-Induced Psychotic Disorder With Hallucinations",11
"1086","F15.24 Other Stimulant Dependence With Stimulant-Induced Mood Disorder",11
"1087","F18.20 Inhalant Dependence, Uncomplicated",11
"1088","F40.218 Other Animal Type Phobia",11
"1089","F40.228 Other Natural Environment Type Phobia",11
"1090","F55.2 Abuse Of Laxatives",11
"1091","F65.2 Exhibitionism",11
"1092","F65.9 Paraphilia, Unspecified",11
"1093","F80.82 Social Pragmatic Communication Disorder",11
"1094","V11.2 Personal History Of Neurosis",11
"1095","249.01 Secondary Diabetes Mellitus, Uncontrolled",10
"1096","252.02 Secondary Hyperparathyroidism, Non-Renal",10
"1097","273.2 Other Paraproteinemias",10
"1098","293.81 Organic Delusional Syndrome",10
"1099","294.0 Amnestic Syndrome",10
"1100","301.4 Compulsive Personality Disorder",10
"1101","301.81 Narcissistic Personality",10
"1102","307.6 Enuresis",10
"1103","312.89 Other Conduct Disorder",10
"1104","313.89 Other Emotional Disturbances Of Childhood Or Adolescence",10
"1105","E08.3299 Diabetes Mellitus Due To Underlying Condition With Mild Nonproliferative Diabetic Retinopathy Without Macular Edema, Unspecified Eye",10
"1106","E11.339 Type 2 Diabetes Mellitus With Moderate Nonproliferative Diabetic Retinopathy Without Macular Edema",10
"1107","E13.3491 Other Specified Diabetes Mellitus With Severe Nonproliferative Diabetic Retinopathy Without Macular Edema, Right Eye",10
"1108","E13.3553 Other Specified Diabetes Mellitus With Stable Proliferative Diabetic Retinopathy, Bilateral",10
"1109","F10.921 Alcohol Use, Unspecified With Intoxication Delirium",10
"1110","F12.280 Cannabis Dependence With Cannabis-Induced Anxiety Disorder",10
"1111","245.8 Other And Unspecified Chronic Thyroiditis",9
"1112","253.3 Pituitary Dwarfism",9
"1113","255.9 Unspecified Disorder Of Adrenal Glands",9
"1114","268.2 Osteomalacia, Unspecified",9
"1115","279.06 Common Variable Immunodeficiency",9
"1116","290.10 Presenile Dementia, Uncomplicated",9
"1117","304.32 Cannabis Dependence, Episodic Use",9
"1118","E08.3213 Diabetes Mellitus Due To Underlying Condition With Mild Nonproliferative Diabetic Retinopathy With Macular Edema, Bilateral",9
"1119","E08.3413 Diabetes Mellitus Due To Underlying Condition With Severe Nonproliferative Diabetic Retinopathy With Macular Edema, Bilateral",9
"1120","E13.10 Other Specified Diabetes Mellitus With Ketoacidosis Without Coma",9
"1121","E78.79 Other Disorders Of Bile Acid And Cholesterol Metabolism",9
"1122","E87.79 Other Fluid Overload",9
"1123","F12.988 Cannabis Use, Unspecified With Other Cannabis-Induced Disorder",9
"1124","F13.288 Sedative, Hypnotic Or Anxiolytic Dependence With Other Sedative, Hypnotic Or Anxiolytic-Induced Disorder",9
"1125","F14.120 Cocaine Abuse With Intoxication, Uncomplicated",9
"1126","F14.19 Cocaine Abuse With Unspecified Cocaine-Induced Disorder",9
"1127","F15.222 Other Stimulant Dependence With Intoxication With Perceptual Disturbance",9
"1128","F15.23 Other Stimulant Dependence With Withdrawal",9
"1129","F18.21 Inhalant Dependence, In Remission",9
"1130","F19.19 Other Psychoactive Substance Abuse With Unspecified Psychoactive Substance-Induced Disorder",9
"1131","F80.4 Speech And Language Development Delay Due To Hearing Loss",9
"1132","F98.3 Pica Of Infancy And Childhood",9
"1133","252.8 Other Specified Disorders Of Parathyroid Gland",8
"1134","259.4 Dwarfism, Not Elsewhere Classified",8
"1135","262 Other Severe Protein-Calorie Malnutrition",8
"1136","291.3 Alcohol Withdrawal Hallucinosis",8
"1137","295.20 Catatonic Type Schizophrenia, Unspecified State",8
"1138","295.92 Unspecified Schizophrenia, Chronic State",8
"1139","302.73 Psychosexual Dysfunction With Inhibited Female Orgasm",8
"1140","305.61 Cocaine Abuse, Continuous Use",8
"1141","306.9 Unspecified Psychophysiological Malfunction",8
"1142","312.32 Kleptomania",8
"1143","315.1 Developmental Arithmetical Disorder",8
"1144","E08.628 Diabetes Mellitus Due To Underlying Condition With Other Skin Complications",8
"1145","E10.3393 Type 1 Diabetes Mellitus With Moderate Nonproliferative Diabetic Retinopathy Without Macular Edema, Bilateral",8
"1146","E10.3553 Type 1 Diabetes Mellitus With Stable Proliferative Diabetic Retinopathy, Bilateral",8
"1147","E11.3523 Type 2 Diabetes Mellitus With Proliferative Diabetic Retinopathy With Traction Retinal Detachment Involving The Macula, Bilateral",8
"1148","E11.3533 Type 2 Diabetes Mellitus With Proliferative Diabetic Retinopathy With Traction Retinal Detachment Not Involving The Macula, Bilateral",8
"1149","E13.3499 Other Specified Diabetes Mellitus With Severe Nonproliferative Diabetic Retinopathy Without Macular Edema, Unspecified Eye",8
"1150","E13.622 Other Specified Diabetes Mellitus With Other Skin Ulcer",8
"1151","E73.1 Secondary Lactase Deficiency",8
"1152","E75.21 Fabry (-Anderson) Disease",8
"1153","F11.129 Opioid Abuse With Intoxication, Unspecified",8
"1154","F12.288 Cannabis Dependence With Other Cannabis-Induced Disorder",8
"1155","F12.920 Cannabis Use, Unspecified With Intoxication, Uncomplicated",8
"1156","F12.929 Cannabis Use, Unspecified With Intoxication, Unspecified",8
"1157","F14.129 Cocaine Abuse With Intoxication, Unspecified",8
"1158","F14.188 Cocaine Abuse With Other Cocaine-Induced Disorder",8
"1159","F14.94 Cocaine Use, Unspecified With Cocaine-Induced Mood Disorder",8
"1160","F15.980 Other Stimulant Use, Unspecified With Stimulant-Induced Anxiety Disorder",8
"1161","V17.41 Family History Of Sudden Cardiac Death (Scd)",8
"1162","245.1 Subacute Thyroiditis",7
"1163","250.11 Type I Diabetes Mellitus [Insulin Dependent Type] [Iddm] [Juvenile Type], Not Stated As Uncontrolled, With Ketoacidosis",7
"1164","271.0 Glycogenosis",7
"1165","293.0 Acute Delirium",7
"1166","298.3 Acute Paranoid Reaction",7
"1167","300.89 Other Neurotic Disorders",7
"1168","301.50 Histrionic Personality Disorder, Unspecified",7
"1169","302.0 Ego-Dystonic Homosexuality",7
"1170","303.01 Acute Alcoholic Intoxication In Alcoholism, Continuous Drinking Behavior",7
"1171","307.0 Stammering And Stuttering",7
"1172","307.40 Nonorganic Sleep Disorder, Unspecified",7
"1173","309.22 Emancipation Disorder Of Adolescence And Early Adult Life",7
"1174","310.89 Other Specified Nonpsychotic Mental Disorders Following Organic Brain Damage",7
"1175","318.1 Severe Mental Retardation",7
"1176","E08.3291 Diabetes Mellitus Due To Underlying Condition With Mild Nonproliferative Diabetic Retinopathy Without Macular Edema, Right Eye",7
"1177","E08.3513 Diabetes Mellitus Due To Underlying Condition With Proliferative Diabetic Retinopathy With Macular Edema, Bilateral",7
"1178","E08.39 Diabetes Mellitus Due To Underlying Condition With Other Diabetic Ophthalmic Complication",7
"1179","E08.641 Diabetes Mellitus Due To Underlying Condition With Hypoglycemia With Coma",7
"1180","E10.3519 Type 1 Diabetes Mellitus With Proliferative Diabetic Retinopathy With Macular Edema, Unspecified Eye",7
"1181","E11.3492 Type 2 Diabetes Mellitus With Severe Nonproliferative Diabetic Retinopathy Without Macular Edema, Left Eye",7
"1182","E13.3313 Other Specified Diabetes Mellitus With Moderate Nonproliferative Diabetic Retinopathy With Macular Edema, Bilateral",7
"1183","E13.3393 Other Specified Diabetes Mellitus With Moderate Nonproliferative Diabetic Retinopathy Without Macular Edema, Bilateral",7
"1184","E67.1 Hypercarotinemia",7
"1185","E87.3 Alkalosis",7
"1186","F10.250 Alcohol Dependence With Alcohol-Induced Psychotic Disorder With Delusions",7
"1187","F12.250 Cannabis Dependence With Psychotic Disorder With Delusions",7
"1188","F13.99 Sedative, Hypnotic Or Anxiolytic Use, Unspecified With Unspecified Sedative, Hypnotic Or Anxiolytic-Induced Disorder",7
"1189","F14.180 Cocaine Abuse With Cocaine-Induced Anxiety Disorder",7
"1190","F16.90 Hallucinogen Use, Unspecified, Uncomplicated",7
"1191","F17.293 Nicotine Dependence, Other Tobacco Product, With Withdrawal",7
"1192","F19.929 Other Psychoactive Substance Use, Unspecified With Intoxication, Unspecified",7
"1193","F40.8 Other Phobic Anxiety Disorders",7
"1194","F44.0 Dissociative Amnesia",7
"1195","F50.8 Other Eating Disorders",7
"1196","V17.6 Family History Of Other Chronic Respiratory Conditions",7
"1197","250.13 Type I Diabetes Mellitus [Insulin Dependent Type] [Iddm] [Juvenile Type], Uncontrolled, With Ketoacidosis",6
"1198","252.08 Other Hyperparathyroidism",6
"1199","255.5 Other Adrenal Hypofunction",6
"1200","256.1 Other Ovarian Hyperfunction",6
"1201","261 Nutritional Marasmus",6
"1202","270.2 Other Disturbances Of Aromatic Amino-Acid Metabolism",6
"1203","273.0 Polyclonal Hypergammaglobulinemia",6
"1204","274.10 Gouty Nephropathy, Unspecified",6
"1205","277.9 Unspecified Disorder Of Metabolism",6
"1206","278.4 Hypervitaminosis D",6
